Descrição,Acurácia,F1-Score,Recall,"Precisão,MCC",
australian.dat - MLP - Treino # 0,0.7514450867052023,0.5011537605029979,0.7358778625954199,0.7336309523809523,0.7687519452225334
australian.dat - MLP - Treino # 0,0.815028901734104,0.6320713128285252,0.8142780461621042,0.8179112554112553,0.8141711229946524
australian.dat - MLP - Treino # 0,0.791907514450867,0.5799718330926545,0.7898785425101215,0.7906520562770563,0.7893213035281443
australian.dat - MLP - Treino # 0,0.7687861271676301,0.5333888375982941,0.757703081232493,0.754396645021645,0.7795866785608088
australian.dat - MLP - Treino # 0,0.7861271676300579,0.5880118506526348,0.7682895927601809,0.7648809523809523,0.8263333333333334
australian.dat - MLP - Treino # 0,0.791907514450867,0.5799718330926545,0.7898785425101215,0.7906520562770563,0.7893213035281443
australian.dat - MLP - Treino # 0,0.8034682080924855,0.6012777081775184,0.8005290287574607,0.7997835497835498,0.8014965986394558
australian.dat - MLP - Treino # 0,0.8092485549132948,0.6181323703062076,0.8006146753745678,0.795995670995671,0.8227138643067846
australian.dat - MLP - Treino # 0,0.7745664739884393,0.5518455198234334,0.7738107211103289,0.7775974025974026,0.7742582197273455
australian.dat - MLP - Treino # 0,0.7976878612716763,0.5889958048151978,0.7922456682106709,0.7894345238095238,0.7996498599439776
australian.dat - MLP - Treino # 0,0.7803468208092486,0.5553300865800865,0.7776650432900433,0.7776650432900434,0.7776650432900434
australian.dat - MLP - Treino # 0,0.7976878612716763,0.589949064733653,0.7949473399031459,0.7945752164502164,0.795374389582203
australian.dat - MLP - Treino # 0,0.7630057803468208,0.5175564912608422,0.7566306399039286,0.7543290043290043,0.7633053221288515
australian.dat - MLP - Treino # 0,0.7630057803468208,0.5175564912608422,0.7566306399039286,0.7543290043290043,0.7633053221288515
australian.dat - MLP - Treino # 0,0.7630057803468208,0.5360577903038576,0.7432398190045248,0.7414772727272727,0.7975
australian.dat - MLP - Treino # 0,0.7687861271676301,0.5470192363815799,0.7503607503607503,0.7479707792207793,0.8016787360105333
australian.dat - MLP - Treino # 0,0.8034682080924855,0.603302384160304,0.7960471567267684,0.7920725108225108,0.8115440115440116
australian.dat - MLP - Treino # 0,0.7687861271676301,0.5390088982588785,0.7678475577026301,0.7711038961038961,0.7679144385026738
australian.dat - MLP - Treino # 0,0.7341040462427746,0.4774524539411591,0.7338817549491706,0.7398538961038961,0.7376038595550791
australian.dat - MLP - Treino # 0,0.8265895953757225,0.6489501119673164,0.8215759075907592,0.8180465367965368,0.8310335116868488
australian.dat - MLP - Treino # 0,0.8034682080924855,0.600697553586749,0.7985616438356165,0.7959280303030303,0.804835562987737
australian.dat - MLP - Treino # 0,0.7861271676300579,0.5676876725272928,0.7775344941438154,0.7738771645021645,0.794173205463528
australian.dat - MLP - Treino # 0,0.7745664739884393,0.5430782549982124,0.7715127501777914,0.7711715367965368,0.7719072164948453
australian.dat - MLP - Treino # 0,0.8092485549132948,0.6128089093333163,0.8041173443129181,0.8011363636363636,0.8117647058823529
australian.dat - MLP - Treino # 0,0.7167630057803468,0.43553305036747103,0.7158134701129772,0.7190882034632035,0.7164528201015771
"australian.dat - MLP - Treino # 0",0.7976878612716763,0.5983705076058184,0.7970096215092695,0.8010010822510822,0.7973803795776531
"australian.dat - MLP - Treino # 0",0.7745664739884393,0.5434323088949832,0.7655093316651027,0.7621753246753247,0.7816041848299913
"australian.dat - MLP - Treino # 0",0.815028901734104,0.6255411255411255,0.8127705627705628,0.8127705627705628,0.8127705627705628
"australian.dat - MLP - Treino # 0",0.7745664739884393,0.5513561927942652,0.7604473637493343,0.757034632034632,0.7956738250855898
"australian.dat - MLP - Treino # 0",0.791907514450867,0.585540105543702,0.7910628019323671,0.7945075757575758,0.7910427807486631
"australian.dat - MLP - Treino # 0",0.7803468208092486,0.5622745019012902,0.7794551798174987,0.7828057359307359,0.7794786096256685
"australian.dat - MLP - Treino # 0",0.7976878612716763,0.5889958048151978,0.7922456682106709,0.7894345238095238,0.7996498599439776
"australian.dat - MLP - Treino # 0",0.8034682080924855,0.6021374458874459,0.801068722943723,0.801068722943723,0.801068722943723
"australian.dat - MLP - Treino # 0",0.7861271676300579,0.5777400765768819,0.7856688431274066,0.7905844155844156,0.7871657754010695
"australian.dat - MLP - Treino # 0",0.7976878612716763,0.6010056802192936,0.7972543110664657,0.8022862554112553,0.7987299465240641
